fold,sample_idx,filename,label,class,path
2,0,sample_000000.png,2,NoDifference,HACNet_PRAD_IMGS/fold_2/NoDifference/sample_000000.png
2,1,sample_000001.png,2,NoDifference,HACNet_PRAD_IMGS/fold_2/NoDifference/sample_000001.png
2,2,sample_000002.png,2,NoDifference,HACNet_PRAD_IMGS/fold_2/NoDifference/sample_000002.png
2,3,sample_000003.png,2,NoDifference,HACNet_PRAD_IMGS/fold_2/NoDifference/sample_000003.png
2,4,sample_000004.png,2,NoDifference,HACNet_PRAD_IMGS/fold_2/NoDifference/sample_000004.png
2,5,sample_000005.png,2,NoDifference,HACNet_PRAD_IMGS/fold_2/NoDifference/sample_000005.png
2,6,sample_000006.png,2,NoDifference,HACNet_PRAD_IMGS/fold_2/NoDifference/sample_000006.png
2,7,sample_000007.png,2,NoDifference,HACNet_PRAD_IMGS/fold_2/NoDifference/sample_000007.png
2,8,sample_000008.png,2,NoDifference,HACNet_PRAD_IMGS/fold_2/NoDifference/sample_000008.png
2,10,sample_000010.png,2,NoDifference,HACNet_PRAD_IMGS/fold_2/NoDifference/sample_000010.png
2,11,sample_000011.png,2,NoDifference,HACNet_PRAD_IMGS/fold_2/NoDifference/sample_000011.png
2,12,sample_000012.png,2,NoDifference,HACNet_PRAD_IMGS/fold_2/NoDifference/sample_000012.png
2,13,sample_000013.png,2,NoDifference,HACNet_PRAD_IMGS/fold_2/NoDifference/sample_000013.png
2,14,sample_000014.png,2,NoDifference,HACNet_PRAD_IMGS/fold_2/NoDifference/sample_000014.png
2,15,sample_000015.png,2,NoDifference,HACNet_PRAD_IMGS/fold_2/NoDifference/sample_000015.png
2,16,sample_000016.png,2,NoDifference,HACNet_PRAD_IMGS/fold_2/NoDifference/sample_000016.png
2,17,sample_000017.png,2,NoDifference,HACNet_PRAD_IMGS/fold_2/NoDifference/sample_000017.png
2,18,sample_000018.png,2,NoDifference,HACNet_PRAD_IMGS/fold_2/NoDifference/sample_000018.png
2,19,sample_000019.png,2,NoDifference,HACNet_PRAD_IMGS/fold_2/NoDifference/sample_000019.png
2,21,sample_000021.png,2,NoDifference,HACNet_PRAD_IMGS/fold_2/NoDifference/sample_000021.png
2,22,sample_000022.png,2,NoDifference,HACNet_PRAD_IMGS/fold_2/NoDifference/sample_000022.png
2,23,sample_000023.png,0,Upregulated,HACNet_PRAD_IMGS/fold_2/Upregulated/sample_000023.png
2,24,sample_000024.png,0,Upregulated,HACNet_PRAD_IMGS/fold_2/Upregulated/sample_000024.png
2,25,sample_000025.png,2,NoDifference,HACNet_PRAD_IMGS/fold_2/NoDifference/sample_000025.png
2,26,sample_000026.png,2,NoDifference,HACNet_PRAD_IMGS/fold_2/NoDifference/sample_000026.png
2,27,sample_000027.png,2,NoDifference,HACNet_PRAD_IMGS/fold_2/NoDifference/sample_000027.png
2,28,sample_000028.png,2,NoDifference,HACNet_PRAD_IMGS/fold_2/NoDifference/sample_000028.png
2,29,sample_000029.png,0,Upregulated,HACNet_PRAD_IMGS/fold_2/Upregulated/sample_000029.png
2,30,sample_000030.png,0,Upregulated,HACNet_PRAD_IMGS/fold_2/Upregulated/sample_000030.png
2,31,sample_000031.png,2,NoDifference,HACNet_PRAD_IMGS/fold_2/NoDifference/sample_000031.png
2,32,sample_000032.png,1,Downregulated,HACNet_PRAD_IMGS/fold_2/Downregulated/sample_000032.png
2,33,sample_000033.png,2,NoDifference,HACNet_PRAD_IMGS/fold_2/NoDifference/sample_000033.png
2,35,sample_000035.png,2,NoDifference,HACNet_PRAD_IMGS/fold_2/NoDifference/sample_000035.png
2,36,sample_000036.png,2,NoDifference,HACNet_PRAD_IMGS/fold_2/NoDifference/sample_000036.png
2,37,sample_000037.png,2,NoDifference,HACNet_PRAD_IMGS/fold_2/NoDifference/sample_000037.png
2,38,sample_000038.png,2,NoDifference,HACNet_PRAD_IMGS/fold_2/NoDifference/sample_000038.png
2,39,sample_000039.png,2,NoDifference,HACNet_PRAD_IMGS/fold_2/NoDifference/sample_000039.png
2,40,sample_000040.png,2,NoDifference,HACNet_PRAD_IMGS/fold_2/NoDifference/sample_000040.png
2,41,sample_000041.png,2,NoDifference,HACNet_PRAD_IMGS/fold_2/NoDifference/sample_000041.png
2,42,sample_000042.png,2,NoDifference,HACNet_PRAD_IMGS/fold_2/NoDifference/sample_000042.png
2,43,sample_000043.png,2,NoDifference,HACNet_PRAD_IMGS/fold_2/NoDifference/sample_000043.png
2,44,sample_000044.png,2,NoDifference,HACNet_PRAD_IMGS/fold_2/NoDifference/sample_000044.png
2,46,sample_000046.png,0,Upregulated,HACNet_PRAD_IMGS/fold_2/Upregulated/sample_000046.png
2,47,sample_000047.png,2,NoDifference,HACNet_PRAD_IMGS/fold_2/NoDifference/sample_000047.png
2,48,sample_000048.png,2,NoDifference,HACNet_PRAD_IMGS/fold_2/NoDifference/sample_000048.png
2,50,sample_000050.png,2,NoDifference,HACNet_PRAD_IMGS/fold_2/NoDifference/sample_000050.png
2,51,sample_000051.png,2,NoDifference,HACNet_PRAD_IMGS/fold_2/NoDifference/sample_000051.png
2,52,sample_000052.png,2,NoDifference,HACNet_PRAD_IMGS/fold_2/NoDifference/sample_000052.png
2,53,sample_000053.png,0,Upregulated,HACNet_PRAD_IMGS/fold_2/Upregulated/sample_000053.png
2,54,sample_000054.png,2,NoDifference,HACNet_PRAD_IMGS/fold_2/NoDifference/sample_000054.png
2,55,sample_000055.png,2,NoDifference,HACNet_PRAD_IMGS/fold_2/NoDifference/sample_000055.png
2,56,sample_000056.png,0,Upregulated,HACNet_PRAD_IMGS/fold_2/Upregulated/sample_000056.png
2,58,sample_000058.png,1,Downregulated,HACNet_PRAD_IMGS/fold_2/Downregulated/sample_000058.png
2,59,sample_000059.png,1,Downregulated,HACNet_PRAD_IMGS/fold_2/Downregulated/sample_000059.png
2,61,sample_000061.png,2,NoDifference,HACNet_PRAD_IMGS/fold_2/NoDifference/sample_000061.png
2,62,sample_000062.png,2,NoDifference,HACNet_PRAD_IMGS/fold_2/NoDifference/sample_000062.png
2,63,sample_000063.png,2,NoDifference,HACNet_PRAD_IMGS/fold_2/NoDifference/sample_000063.png
2,64,sample_000064.png,2,NoDifference,HACNet_PRAD_IMGS/fold_2/NoDifference/sample_000064.png
2,65,sample_000065.png,2,NoDifference,HACNet_PRAD_IMGS/fold_2/NoDifference/sample_000065.png
2,66,sample_000066.png,2,NoDifference,HACNet_PRAD_IMGS/fold_2/NoDifference/sample_000066.png
2,67,sample_000067.png,2,NoDifference,HACNet_PRAD_IMGS/fold_2/NoDifference/sample_000067.png
2,68,sample_000068.png,2,NoDifference,HACNet_PRAD_IMGS/fold_2/NoDifference/sample_000068.png
2,69,sample_000069.png,2,NoDifference,HACNet_PRAD_IMGS/fold_2/NoDifference/sample_000069.png
2,70,sample_000070.png,2,NoDifference,HACNet_PRAD_IMGS/fold_2/NoDifference/sample_000070.png
